division,age,gender,prediction
3,80,male,No
3,71,female,Yes
3,70.5,male,No
3,70,male,No
3,66,male,No
3,65,female,Yes
3,65,female,Yes
3,64,male,No
3,63,male,No
3,63,female,No
3,62,male,No
3,62,female,No
3,61,female,Yes
3,60,female,Yes
3,60,female,No
3,60,female,Yes
3,59,male,No
3,58,female,Yes
3,58,male,No
3,58,female,Yes
3,56,male,Yes
3,56,male,No
3,56,female,No
3,55.5,female,Yes
3,55,female,No
3,54,male,No
3,54,female,Yes
3,54,male,No
3,54,male,No
3,54,female,Yes
3,54,male,No
3,54,female,No
3,53,male,No
3,52,male,No
3,51,male,No
3,51,male,No
3,51,male,No
3,51,male,No
3,50,male,Yes
3,50,male,No
3,50,female,Yes
3,50,male,No
3,50,female,No
3,50,male,No
3,49,male,Yes
3,49,male,No
3,49,male,No
3,49,male,No
3,49,female,Yes
3,48,male,No
3,48,male,Yes
3,48,female,Yes
3,48,female,Yes
3,48,male,No
3,48,male,No
3,47,male,No
3,47,male,No
3,47,male,No
3,47,male,No
3,47,male,No
3,47,male,No
3,46,female,No
3,45.5,male,No
3,45,male,No
3,45,male,No
3,45,male,No
3,45,female,Yes
3,45,male,Yes
3,45,male,No
3,45,female,Yes
3,45,female,No
3,45,male,No
3,45,female,No
3,45,female,No
3,44,male,No
3,44,male,No
3,44,female,No
3,44,male,No
3,43,male,Yes
3,43,male,No
3,43,male,Yes
3,43,female,Yes
3,42,male,No
3,42,male,No
3,42,male,No
3,42,female,No
3,42,male,No
3,42,female,No
3,42,female,Yes
3,41,female,Yes
3,41,male,No
3,41,male,Yes
3,41,female,No
3,40,male,No
3,40,male,No
3,40,male,No
3,40,female,Yes
3,40,male,No
3,40,male,No
3,40,male,No
3,40,male,No
3,40,male,No
3,39,male,No
3,39,male,No
3,39,male,Yes
3,39,female,No
3,39,male,No
3,39,male,No
3,39,female,Yes
3,39,male,No
3,39,male,No
3,39,male,No
3,38,male,No
3,38,female,No
3,38,male,No
3,38,female,Yes
3,38,female,Yes
3,37,male,No
3,37,male,No
3,37,female,Yes
3,36,male,No
3,36,male,No
3,36,female,Yes
3,36,male,No
3,36,male,No
3,36,male,No
3,36,male,No
3,36,male,Yes
3,36,female,No
3,36,male,No
3,36,male,Yes
3,36,female,Yes
3,36,male,No
3,36,male,No
3,36,male,No
3,36,female,Yes
3,35,male,Yes
3,35,male,No
3,35,male,No
3,35,male,No
3,35,male,No
3,35,female,No
3,35,male,No
3,35,female,Yes
3,34.5,female,No
3,34,female,No
3,34,female,Yes
3,34,male,No
3,34,male,No
3,34,female,No
3,34,male,No
3,33,female,No
3,33,male,No
3,33,female,No
3,33,female,Yes
3,33,male,No
3,33,male,Yes
3,33,female,No
3,32.5,male,No
3,32.5,male,Yes
3,32,male,Yes
3,32,female,Yes
3,32,female,No
3,32,male,No
