division,age,gender,prediction
3,80,1,No
3,71,0,Yes
3,70.5,1,No
3,70,1,No
3,66,1,No
3,65,0,Yes
3,65,0,Yes
3,64,1,No
3,63,1,No
3,63,0,No
3,62,1,No
3,62,0,No
3,61,0,Yes
3,60,0,Yes
3,60,0,No
3,60,0,Yes
3,59,1,No
3,58,0,Yes
3,58,1,No
3,58,0,Yes
3,56,1,Yes
3,56,1,No
3,56,0,No
3,55.5,0,Yes
3,55,0,No
3,54,1,No
3,54,0,Yes
3,54,1,No
3,54,1,No
3,54,0,Yes
3,54,1,No
3,54,0,No
3,53,1,No
3,52,1,No
3,51,1,No
3,51,1,No
3,51,1,No
3,51,1,No
3,50,1,Yes
3,50,1,No
3,50,0,Yes
3,50,1,No
3,50,0,No
3,50,1,No
3,49,1,Yes
3,49,1,No
3,49,1,No
3,49,1,No
3,49,0,Yes
3,48,1,No
3,48,1,Yes
3,48,0,Yes
3,48,0,Yes
3,48,1,No
3,48,1,No
3,47,1,No
3,47,1,No
3,47,1,No
3,47,1,No
3,47,1,No
3,47,1,No
3,46,0,No
3,45.5,1,No
3,45,1,No
3,45,1,No
3,45,1,No
3,45,0,Yes
3,45,1,Yes
3,45,1,No
3,45,0,Yes
3,45,0,No
3,45,1,No
3,45,0,No
3,45,0,No
3,44,1,No
3,44,1,No
3,44,0,No
3,44,1,No
3,43,1,Yes
3,43,1,No
3,43,1,Yes
3,43,0,Yes
3,42,1,No
3,42,1,No
3,42,1,No
3,42,0,No
3,42,1,No
3,42,0,No
3,42,0,Yes
3,41,0,Yes
3,41,1,No
3,41,1,Yes
3,41,0,No
3,40,1,No
3,40,1,No
3,40,1,No
3,40,0,Yes
3,40,1,No
3,40,1,No
3,40,1,No
3,40,1,No
3,40,1,No
3,39,1,No
3,39,1,No
3,39,1,Yes
3,39,0,No
3,39,1,No
3,39,1,No
3,39,0,Yes
3,39,1,No
3,39,1,No
3,39,1,No
3,38,1,No
3,38,0,No
3,38,1,No
3,38,0,Yes
3,38,0,Yes
3,37,1,No
3,37,1,No
3,37,0,Yes
3,36,1,No
3,36,1,No
3,36,0,Yes
3,36,1,No
3,36,1,No
3,36,1,No
3,36,1,No
3,36,1,Yes
3,36,0,No
3,36,1,No
3,36,1,Yes
3,36,0,Yes
3,36,1,No
3,36,1,No
3,36,1,No
3,36,0,Yes
3,35,1,Yes
3,35,1,No
3,35,1,No
3,35,1,No
3,35,1,No
3,35,0,No
3,35,1,No
3,35,0,Yes
3,34.5,0,No
3,34,0,No
3,34,0,Yes
3,34,1,No
3,34,1,No
3,34,0,No
3,34,1,No
3,33,0,No
3,33,1,No
3,33,0,No
3,33,0,Yes
3,33,1,No
3,33,1,Yes
3,33,0,No
3,32.5,1,No
3,32.5,1,Yes
3,32,1,Yes
3,32,0,Yes
3,32,0,No
3,32,1,No
3,32,0,Yes
3,32,1,No
3,32,1,No
3,32,1,No
3,32,1,Yes
3,32,1,No
3,31,1,Yes
3,31,1,No
3,31,0,Yes
3,31,0,No
3,31,1,No
3,31,1,No
3,31,0,Yes
3,31,1,Yes
3,31,1,No
3,30.5,1,No
3,30,1,No
3,30,0,Yes
3,30,1,No
3,30,1,No
3,30,1,No
3,30,1,No
3,30,0,Yes
3,29,0,Yes
3,29,1,No
3,29,1,No
3,29,1,Yes
3,29,0,Yes
3,29,1,Yes
3,29,1,No
3,28.5,1,No
3,28,1,No
3,28,1,No
3,28,1,No
3,28,1,No
3,28,0,Yes
3,28,0,Yes
3,28,1,No
3,28,0,No
3,28,1,No
3,28,1,No
3,28,1,No
3,28,0,Yes
3,28,0,Yes
3,28,1,No
3,28,1,No
3,28,0,No
3,28,0,Yes
3,27,1,No
3,27,1,No
3,27,0,Yes
3,27,1,No
3,27,1,No
3,27,1,No
3,27,1,No
3,27,1,Yes
3,27,1,No
3,27,0,Yes
3,26,1,No
3,26,0,No
3,26,1,Yes
3,26,1,No
3,26,0,No
3,26,1,No
3,26,0,No
3,26,1,No
3,26,1,No
3,26,0,No
3,26,1,No
3,26,1,No
3,25,1,Yes
3,25,0,No
3,25,0,No
3,25,1,No
3,25,1,No
3,25,1,No
3,25,0,No
3,25,1,No
3,25,1,No
3,25,1,No
3,25,1,Yes
3,25,0,Yes
3,25,1,No
3,24.5,0,No
3,24,1,No
3,24,1,No
3,24,1,Yes
3,24,0,Yes
3,24,1,No
3,24,1,No
3,24,1,Yes
3,24,1,No
3,24,1,No
3,24,1,No
3,24,1,No
3,23,1,No
3,23,0,Yes
3,23,1,No
3,23,1,No
3,23,0,No
3,23,1,No
3,23,1,No
3,23,0,Yes
3,23,1,No
3,23,1,No
3,22,0,Yes
3,22,0,No
3,22,1,No
3,22,1,Yes
3,22,1,No
3,22,1,No
3,22,1,No
3,22,1,No
3,22,1,No
3,22,1,No
3,22,1,No
3,22,0,No
3,22,0,No
3,22,0,No
3,22,1,No
3,22,1,Yes
3,21,1,Yes
3,21,1,No
3,21,1,No
3,21,1,No
3,21,1,No
3,21,1,No
3,21,1,No
3,21,1,No
3,21,1,No
3,21,1,No
3,21,1,No
3,21,1,No
3,21,0,Yes
3,20.5,0,No
3,20,1,No
3,20,0,No
3,20,0,No
3,20,1,No
3,19,1,No
3,19,1,Yes
3,19,0,Yes
3,19,0,Yes
3,19,1,No
3,19,1,No
3,19,1,No
3,19,0,No
3,19,1,No
3,19,1,No
3,19,0,No
3,19,1,No
3,19,1,Yes
3,19,0,Yes
3,19,1,No
3,18,1,No
3,18,0,No
3,18,1,Yes
3,18,1,No
3,18,1,No
3,18,1,No
3,18,1,No
3,18,1,No
3,18,0,No
3,18,1,No
3,18,1,No
3,18,1,No
3,17,1,No
3,17,1,No
3,17,1,No
3,17,1,No
3,17,0,No
3,17,1,No
3,17,0,Yes
3,17,1,No
3,16,1,No
3,16,1,No
3,16,0,No
3,16,1,No
3,16,1,Yes
3,16,1,No
3,16,1,No
3,16,1,No
3,16,1,No
3,15,1,No
3,15,0,No
3,14.5,1,No
3,14,0,No
3,14,1,No
3,14,1,No
3,14,0,No
3,13,1,Yes
3,13,0,Yes
3,11,1,No
3,11,1,No
3,11,0,Yes
3,10,1,No
3,9,1,No
3,9,0,Yes
3,9,0,No
3,9,1,No
3,9,0,No
3,8,1,No
3,8,1,No
3,7,1,Yes
3,6,1,No
3,6,1,No
3,4,1,No
3,4,1,No
3,4,0,Yes
3,4,0,No
3,4,0,No
3,4,1,No
3,4,1,No
3,3,1,No
3,3,1,No
3,3,1,No
3,2,0,Yes
3,2,1,Yes
3,2,1,No
3,2,1,No
3,2,0,Yes
3,2,1,No
3,1,0,No
3,1,1,No
3,1,1,No
3,0.83,1,Yes
3,0.42,1,No
2,65,0,Yes
2,62,0,Yes
2,62,1,Yes
2,61,1,No
2,61,1,Yes
2,57,1,No
2,55,0,No
2,54,0,Yes
2,52,0,Yes
2,52,0,Yes
2,51,0,Yes
2,50,0,Yes
2,50,1,No
2,50,1,No
2,49,1,Yes
2,48,0,Yes
2,46,0,Yes
2,46,1,No
2,44,1,No
2,44,1,No
2,44,1,No
2,44,0,Yes
2,42,0,Yes
2,42,1,No
2,42,1,No
2,41,1,No
2,41,1,No
2,40.5,1,No
2,40.5,1,No
2,40,1,No
2,40,0,Yes
2,38,1,No
2,38,1,No
2,38,1,Yes
2,37,0,Yes
2,37,1,No
2,37,1,Yes
2,36,0,No
2,36,0,Yes
2,36,1,No
2,35,1,No
2,35,1,No
2,35,1,No
2,35,1,Yes
2,35,1,No
2,35,1,No
2,35,1,No
2,34,1,No
2,34,0,Yes
2,34,1,No
2,34,1,No
2,34,1,No
2,34,0,Yes
2,34,1,No
2,33,0,Yes
2,33,1,No
2,32,0,Yes
2,32,1,No
2,31,1,Yes
2,31,1,No
2,30.5,0,Yes
2,30,1,No
2,30,0,No
2,30,1,No
2,30,0,Yes
2,30,1,No
2,30,0,Yes
2,30,0,Yes
2,30,0,Yes
2,29,1,Yes
2,29,1,No
2,29,1,No
2,29,1,No
2,29,0,Yes
2,29,0,Yes
2,28,0,No
2,28,1,No
2,27,1,No
2,27,0,Yes
2,27,0,Yes
2,26,1,No
2,26,1,No
2,26,0,Yes
2,26,1,No
2,26,1,Yes
2,25,1,No
2,25,0,Yes
2,25,0,Yes
2,25,1,No
2,25,0,Yes
2,25,0,Yes
2,25,0,Yes
2,24,0,Yes
2,24,1,No
2,24,0,Yes
2,24,0,Yes
2,24,0,Yes
2,24,1,No
2,24,0,Yes
2,24,1,No
2,24,1,No
2,23,0,Yes
2,23,0,Yes
2,23,1,No
2,23,1,No
2,22,0,Yes
2,21,0,Yes
2,21,0,Yes
2,21,0,Yes
2,21,1,No
2,21,0,Yes
2,20,0,Yes
2,20,1,Yes
2,20,0,Yes
2,20,1,Yes
2,20,1,Yes
2,19,1,No
2,19,1,No
2,19,1,Yes
2,18,0,Yes
2,18,0,Yes
2,18,1,No
2,18,1,No
2,18,1,No
2,18,0,Yes
2,18,0,Yes
2,17,0,Yes
2,16,0,Yes
2,16,0,Yes
2,16,1,No
2,16,1,No
2,15,0,Yes
2,14,1,No
2,10,0,Yes
2,9,1,No
2,9,1,No
2,7,1,No
2,7,1,No
2,5,0,Yes
2,5,1,No
2,5,1,Yes
2,4,1,No
2,3,1,No
2,3,1,No
2,2,1,No
2,1,1,No
2,1,0,Yes
1,74,0,Yes
1,71,0,Yes
1,70,1,No
1,64,0,Yes
1,60,1,Yes
1,59,1,No
1,58,1,No
1,58,0,Yes
1,57,1,No
1,56,1,No
1,52,0,Yes
1,52,1,No
1,52,1,Yes
1,51,0,Yes
1,51,1,No
1,50,1,No
1,48,1,No
1,48,0,Yes
1,47,1,No
1,47,1,No
1,47,1,Yes
1,45.5,1,No
1,45,1,No
1,44,1,No
1,43,1,No
1,42,0,Yes
1,42,1,No
1,42,1,No
1,40,0,Yes
1,40,1,No
1,39,0,Yes
1,39,1,No
1,39,1,No
1,39,1,No
1,38,0,No
1,38,1,No
1,38,1,Yes
1,36.5,0,Yes
1,36,0,Yes
1,36,1,Yes
1,36,0,Yes
1,35,0,Yes
1,35,1,Yes
1,35,0,Yes
1,34,1,No
1,34,1,Yes
1,33,1,No
1,33,0,Yes
1,33,0,Yes
1,33,0,Yes
1,33,1,No
1,33,1,No
1,32,0,Yes
1,32,0,Yes
1,32,1,No
1,32,1,No
1,32,0,Yes
1,32,1,No
1,31,0,Yes
1,31,0,Yes
1,31,1,No
1,31,0,No
1,31,1,Yes
1,31,0,Yes
1,30,1,Yes
1,30,0,Yes
1,30,0,Yes
1,30,0,Yes
1,30,0,Yes
1,30,0,Yes
1,30,0,Yes
1,30,0,Yes
1,30,0,Yes
1,30,0,Yes
1,29,1,No
1,29,1,No
1,29,0,Yes
1,29,1,No
1,29,0,Yes
1,29,1,No
1,29,0,Yes
1,28.5,1,No
1,28,0,Yes
1,28,0,Yes
1,28,0,Yes
1,28,1,Yes
1,28,1,No
1,28,0,Yes
1,27,1,No
1,27,0,Yes
1,27,0,Yes
1,27,1,Yes
1,27,0,Yes
1,26,0,Yes
1,25,1,Yes
1,25,1,No
1,25,0,Yes
1,24,1,No
1,24,1,Yes
1,24,1,Yes
1,24,1,Yes
1,24,1,No
1,24,1,Yes
1,24,1,No
1,24,0,Yes
1,24,1,Yes
1,24,1,No
1,23.5,1,No
1,23,1,No
1,22,1,Yes
1,22,0,Yes
1,22,1,No
1,22,1,No
1,22,1,No
1,22,0,Yes
1,22,0,No
1,22,0,Yes
1,22,1,No
1,22,1,Yes
1,21,1,Yes
1,21,0,Yes
1,21,1,No
1,21,0,Yes
1,21,0,Yes
1,21,1,No
1,20,1,No
1,20,0,Yes
1,20,0,Yes
1,20,0,Yes
1,20,1,No
1,20,1,No
1,19,1,Yes
1,19,1,No
1,19,0,Yes
1,19,1,No
1,19,0,Yes
1,19,0,Yes
1,19,1,Yes
1,18,0,Yes
1,18,0,Yes
1,18,1,No
1,18,0,Yes
1,18,1,Yes
1,18,0,Yes
1,18,1,Yes
1,17,1,No
1,17,1,Yes
1,17,1,Yes
1,17,0,Yes
1,16,1,Yes
1,16,1,No
1,16,0,Yes
1,16,1,Yes
1,15,1,Yes
1,15,1,No
1,14,0,Yes
1,12,1,Yes
1,11,1,Yes
1,9,1,No
1,8,1,Yes
1,8,1,No
1,6,0,Yes
1,5,1,No
1,4,1,Yes
1,4,1,Yes
1,3,0,Yes
1,2,1,Yes
1,2,1,No
1,2,1,No
1,1,0,Yes
1,1,1,Yes
1,0.92,1,Yes
1,0.83,0,Yes
1,0.75,0,Yes
1,0.75,1,No
1,0.67,1,Yes
